"Rule","Category","Project","ProjectPath","File","Line","Column","Message","PublicApiRisk","DataFormatRisk","DatabaseRisk","SerializationRisk","UiBindingRisk","ExternalProtocolRisk"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\App.axaml.cs","45","22","類型 'App' 擁有可處置的欄位 '_startupCancellation' 但其本身並非可處置項目","True","False","False","False","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Commands\CancellableAsyncDelegateCommand.cs","9","14","類型 'CancellableDownKyiAsyncDelegateCommand' 擁有可處置的欄位 '_cancellationTokenSource' 但其本身並非可處置項目","True","False","False","False","False","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\Download\DownloadService.cs","30","23","類型 'DownloadService' 擁有可處置的欄位 '_downloadSemaphore', 'TokenSource' 但其本身並非可處置項目","True","False","False","False","False","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\MainWindowViewModel.cs","24","14","類型 'MainWindowViewModel' 擁有可處置的欄位 '_clipboardDebounceCancellation', '_clipboardListener', '_messageCancellation' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewLoginViewModel.cs","16","14","類型 'ViewLoginViewModel' 擁有可處置的欄位 '_tokenSource' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewMyBangumiFollowViewModel.cs","27","14","類型 'ViewMyBangumiFollowViewModel' 擁有可處置的欄位 '_tokenSource' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewMyFavoritesViewModel.cs","26","14","類型 'ViewMyFavoritesViewModel' 擁有可處置的欄位 '_tokenSource1', '_tokenSource2' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewMyHistoryViewModel.cs","26","14","類型 'ViewMyHistoryViewModel' 擁有可處置的欄位 '_loadCancellation' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewMySpaceViewModel.cs","21","14","類型 'ViewMySpaceViewModel' 擁有可處置的欄位 '_tokenSource' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewMyToViewVideoViewModel.cs","22","14","類型 'ViewMyToViewVideoViewModel' 擁有可處置的欄位 '_tokenSource' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewPublicationViewModel.cs","29","18","類型 'ViewPublicationViewModel' 擁有可處置的欄位 '_tokenSource' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewPublicFavoritesViewModel.cs","23","14","類型 'ViewPublicFavoritesViewModel' 擁有可處置的欄位 '_tokenSource' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewSeasonsSeriesViewModel.cs","27","14","類型 'ViewSeasonsSeriesViewModel' 擁有可處置的欄位 'tokenSource' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1001","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\ViewModels\ViewVideoDetailViewModel.cs","34","14","類型 'ViewVideoDetailViewModel' 擁有可處置的欄位 '_operationCancellation' 但其本身並非可處置項目","True","True","False","True","True","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Models\Downloading.cs","17","25","將 'Downloading.DownloadedFiles' 中的 'List<string>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","True","False","True","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Models\NfoModels.cs","22","25","將 'MovieMetadata.Genres' 中的 'List<string>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","True","False","True","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Models\NfoModels.cs","25","25","將 'MovieMetadata.Tags' 中的 'List<string>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","True","False","True","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Models\NfoModels.cs","28","24","將 'MovieMetadata.Actors' 中的 'List<Actor>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","True","False","True","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Models\NfoModels.cs","37","25","將 'MovieMetadata.Ratings' 中的 'List<Rating>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","True","False","True","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Models\VideoPlayUrlBasic.cs","11","29","將 'VideoPlayUrlBasic.BackupUrl' 中的 'List<string>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","True","False","True","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\Download\AddToDownloadService.cs","95","74","將 'AddToDownloadService.GetVideo(VideoInfoView, List<VideoSection>)' 中的 'List<VideoSection>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","False","False","False","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\Download\DownloadService.cs","42","35","將 'DownloadService.DownloadingTasks' 中的 'List<Task>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","False","False","False","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\Download\DownloadService.cs","322","28","將 'DownloadService.BaseDownloadSubtitle(DownloadingItem)' 中的 'List<string>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","False","False","False","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\Download\DownloadService.cs","1087","34","將 'DownloadService.DownloadSubtitle(DownloadingItem)' 中的 'List<string>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","False","False","False","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\Download\DownloadStorageService.cs","260","34","將 'DownloadStorageService.GetDownloading()' 中的 'List<DownloadingItem>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","True","True","True","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\Download\DownloadStorageService.cs","490","33","將 'DownloadStorageService.GetDownloaded()' 中的 'List<DownloadedItem>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","True","True","True","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\Download\IDownloadService.cs","14","18","將 'IDownloadService.DownloadSubtitle(DownloadingItem)' 中的 'List<string>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","False","False","False","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\IFavoritesService.cs","16","53","將 'IFavoritesService.GetFavoritesMediaList(List<FavoritesMedia>, ObservableCollection<FavoritesMedia>, IEventAggregator, CancellationToken)' 中的 'List<FavoritesMedia>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","False","False","False","False","False"
"CA1002","Design","DownKyi","DownKyi\DownKyi.csproj","DownKyi\Services\IInfoService.cs","10","25","將 'IInfoService.GetVideoSections(bool, [CancellationToken])' 中的 'List<VideoSection>' 變更為使用 'Collection<T>'、'ReadOnlyCollection<T>' 或 'KeyedCollection<K,V>'","True","True","False","True","False","False"
